date,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1/22/2020,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/23/2020,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1/24/2020,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1/25/2020,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1/26/2020,0,0,1,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1/27/2020,0,0,1,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1/28/2020,0,0,1,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1/29/2020,0,0,1,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1/30/2020,0,0,1,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1/31/2020,0,0,1,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/1/2020,0,0,1,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/2/2020,0,0,1,0,3,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/3/2020,0,0,1,0,6,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/4/2020,0,0,1,0,6,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/5/2020,0,0,1,0,6,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/6/2020,0,0,1,0,6,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/7/2020,0,0,1,0,6,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/8/2020,0,0,1,0,6,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/9/2020,0,0,1,0,6,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/10/2020,0,0,1,0,6,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/11/2020,0,0,1,0,6,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/12/2020,0,0,1,0,7,0,0,9,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/13/2020,0,0,1,0,8,0,0,9,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/14/2020,0,0,1,0,8,0,0,10,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/15/2020,0,0,1,0,8,0,0,10,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/16/2020,0,0,1,0,8,0,0,10,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/17/2020,0,0,1,0,8,0,0,10,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/18/2020,0,0,1,0,13,0,0,10,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/19/2020,0,0,1,0,15,0,0,10,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/20/2020,0,0,1,0,15,0,0,10,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/21/2020,0,0,1,0,17,0,0,10,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/22/2020,0,0,1,0,21,0,0,12,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/23/2020,0,0,1,0,21,0,0,12,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/24/2020,0,0,1,0,25,0,0,12,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/25/2020,0,0,1,0,25,0,0,12,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/26/2020,0,0,1,0,31,0,0,12,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/27/2020,0,0,1,0,33,0,0,12,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/28/2020,0,0,1,0,33,0,0,12,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/29/2020,0,0,1,0,34,0,0,12,0,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0,0,0,0,0,0,0,0,0,1,0,0,0
3/1/2020,0,0,1,0,34,0,0,12,0,0,2,0,0,3,0,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,0,0,0,0,0,0,0,0,0,1,0,0,0
3/2/2020,0,0,1,0,39,1,0,12,0,2,3,0,0,4,0,0,0,0,0,0,0,1,27,0,0,0,0,0,0,1,0,0,0,0,0,0,39,3,0,0,0,0,0,0,0,0,0,1,0,0,0
3/3/2020,0,0,2,0,43,1,0,12,0,3,5,0,0,4,0,0,0,0,0,0,0,2,49,0,0,0,0,0,0,2,0,0,0,1,0,0,43,3,0,0,0,0,0,0,0,0,0,14,0,1,0
3/4/2020,0,0,2,0,53,1,0,12,0,7,7,0,0,4,0,0,0,0,0,0,0,2,73,0,6,1,0,0,0,2,0,0,1,1,0,0,49,3,0,0,0,0,0,0,0,0,0,30,0,1,0
3/5/2020,0,0,3,0,60,1,0,12,0,8,2,1,0,5,0,0,0,0,0,0,3,2,99,0,8,1,0,0,1,2,2,0,12,1,0,0,59,3,0,1,0,0,0,0,0,0,0,45,0,1,0
3/6/2020,0,0,3,0,69,8,0,12,0,8,8,1,0,6,1,0,0,0,0,0,3,7,141,1,20,2,0,0,1,2,4,0,21,1,0,0,61,3,0,1,1,0,0,5,0,0,0,66,0,1,0
3/7/2020,0,0,5,0,88,9,0,12,1,12,11,1,0,6,1,0,0,2,0,0,3,9,189,1,28,2,0,1,2,2,6,0,28,2,0,0,77,7,2,1,2,0,0,5,0,0,0,84,0,1,0
3/8/2020,0,0,5,0,114,11,1,12,1,13,17,2,0,7,2,3,1,2,0,0,5,28,252,2,39,4,0,3,3,4,6,0,28,2,0,0,91,14,5,1,5,0,0,5,1,1,0,113,0,1,0
3/9/2020,0,0,6,0,133,12,1,12,2,18,26,2,0,11,3,8,1,2,1,0,6,28,376,2,74,5,0,3,4,4,8,0,125,2,0,0,110,14,8,3,6,0,0,12,1,1,2,154,0,1,0
3/10/2020,0,0,8,0,157,18,2,12,2,20,39,2,0,19,5,13,1,4,1,0,9,91,533,4,99,5,0,4,5,5,15,0,137,7,0,3,132,15,12,3,6,5,0,15,2,1,5,244,0,3,0
3/11/2020,3,0,9,1,177,24,3,12,2,26,55,2,0,27,9,14,1,7,8,0,12,95,736,5,122,7,1,4,7,5,23,3,164,7,0,3,154,19,17,3,8,8,0,18,3,1,8,313,0,5,0
3/12/2020,4,0,9,6,198,42,7,15,2,30,88,2,0,32,12,16,4,9,14,2,12,108,1014,10,157,8,1,9,11,6,29,5,230,9,1,5,174,24,25,12,13,8,0,22,4,2,15,374,0,8,1
3/13/2020,8,1,10,9,247,53,7,15,3,53,115,4,0,32,12,16,6,12,33,3,15,109,1389,14,194,15,1,13,11,6,30,5,267,17,1,5,223,24,34,18,16,9,1,22,6,2,29,477,0,9,1
3/14/2020,15,1,12,12,288,80,7,16,3,95,139,7,1,32,12,16,7,16,33,11,26,109,1782,14,235,26,1,15,11,6,44,7,311,22,1,5,273,24,52,18,20,9,1,22,6,4,29,569,0,19,2
3/15/2020,28,1,13,16,335,112,26,16,17,110,191,10,5,93,19,22,8,27,101,17,31,164,2277,54,306,37,7,16,16,13,98,17,400,32,1,37,325,39,65,19,22,9,6,56,21,4,29,684,0,27,3
